Food, Portion size,Grams protein
Beef/Turkey Jerky,1 oz ,10
Beef,1 oz ,7
Chicken,1 oz ,7
Turkey,1 oz ,7
Pork,1 oz ,7
Lamb,1 oz ,7
Fish,1 oz ,7
"Seafood (Crabmeat, Shrimp, Lobster) ",1 oz ,6
Bacon,1 slice,3
Egg,1,6
Soy milk ,1 cup,7
"Edamame, fresh or frozen ½ cup 8",1/4 cup,4
"Edamame, dry roasted 1 oz 13",1/4 cup,13
Lentils ,1/4 cup,4
Tofu,1/4 cup,3
Lima beans ,1/4 cup,3
"Kidney, Black, Navy, Cannellini beans ",1/4 cup,4
Refried beans ,1/4 cup,3
Hummus,1/4 cup,5
Chili with beans,1/4 cup,5
Peanut butter,2 Tbsp ,7
Nuts ,1/4 cup,5
Sunflower seeds ,1/4 cup,5
Almond milk,1 cup,1
"Milk, skim or 1% ",1 cup,8
Yogurt,1/4 cup,2
Greek yogurt,1/4 cup,6
Hard cheese,1 oz ,7
American cheese ,1 slice ,5
Cottage cheese,1/4 cup,7
Ricotta,1/4 cup,7
"Pudding, made with milk",1/4 cup,2
Bread,1 slice,3
Cereal (hot),½ cup,3
Cereal (cold),½ cup,2
Rice,½ cup,2
Quinoa ,½ cup,3
"Fresh, frozen, canned vegetables",½ cup,2
Raw leafy greens,1 cup,2
Fresh fruit,1 piece,0
Canned fruit in 100% juice ,½ cup,0
Pasta,½ cup,3